,암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,병원홈페이지,개설일자,총의사수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,조산사 인원수,좌표(X),좌표(Y)
1798,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkNTgxMzUxIzExIyQxIyQ3IyQxMyQzNjEwMDIjODEjJDEjJDYjJDgz,가야요양병원,28,요양병원,340000,충남,340202,천안동남구,영성동,31130,"충청남도 천안시 동남구 영성로 7, (영성동, 가야요양병원)",041-558-1000,,20140108,5,0,0,0,4,0,0,0,0,1,0,0,0,0,127.1505959,36.7989313
1799,JDQ4MTYyMiM4MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ4OSQ0NjE0ODEjNjEjJDEjJDgjJDgz,가야이요양병원,28,요양병원,370000,경북,370010,성주군,성주읍,40031,"경상북도 성주군 성주읍 주산로 183, (성주읍)",054-933-7001,,20080212,4,0,0,0,3,0,0,0,0,1,0,0,0,0,128.3040306,35.9330786
1800,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzMxIyQxIyQ3IyQ4OSQzNjEyMjIjNDEjJDEjJDQjJDgz,가온요양병원,28,요양병원,220000,인천,220006,인천남동구,구월동,21555,"인천광역시 남동구 남동대로 797, 가온 요양병원 (구월동)",032-212-2001,www.gaonhospital.co.kr,20170629,6,0,0,0,4,0,0,0,0,2,0,0,0,0,126.7078003,37.453577
1801,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ3MiQzNjEwMDIjNTEjJDEjJDIjJDgz,가은병원,28,요양병원,310000,경기,310301,부천소사구,송내동,14746,"경기도 부천시 소사구 마니로24번길 43-17, (송내동, 가은병원A동)",032-667-0114,http://www.gaeunhospital.com/,20021115,12,1,0,0,10,0,0,0,0,1,0,0,0,0,126.7688451,37.4774648
1802,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ4OSQzNjEyMjIjODEjJDEjJDIjJDgz,가족사랑 요양병원,28,요양병원,210000,부산,210004,부산진구,초읍동,47124,"부산광역시 부산진구 새싹로 286, 4~9층 (초읍동)",051-806-1190,,20051212,6,0,0,0,4,0,0,0,0,2,0,0,0,0,129.0473059,35.1816671
1803,JDQ4MTYyMiM4MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5OSQyNjEyMjIjNzEjJDEjJDgjJDgz,가창파티마요양병원,28,요양병원,230000,대구,230100,대구달성군,가창면,42939,"대구광역시 달성군 가창면 가창로85길 24-6, (가창면)",053-295-7000,,20160428,4,0,0,0,3,0,0,0,0,1,0,0,0,0,128.6497959,35.7499693
1804,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzMxIyQxIyQzIyQ4OSQyNjE0ODEjNjEjJDEjJDAjJDgz,가평산속요양병원,28,요양병원,310000,경기,310001,가평군,상면,12445,"경기도 가평군 상면 대보간선로 889, (상면)",031-584-8900,www.gpnature.com/,20121008,2,1,0,0,0,0,0,0,0,1,0,0,0,0,127.4044314,37.7889464
1805,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzQxIyQxIyQ3IyQ5MiQyNjEyMjIjNzEjJDEjJDgjJDgz,가평푸른숲요양병원,28,요양병원,310000,경기,310001,가평군,상면,12440,"경기도 가평군 상면 물골길 262-23, (상면)",1661-9099,,20170901,4,0,0,0,2,0,0,0,0,2,0,0,0,0,127.3042465,37.8409105
1806,JDQ4MTYyMiM4MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ4OSQyNjEyMjIjNDEjJDEjJDQjJDgz,감꽃요양병원,28,요양병원,370000,경북,370022,청도군,각북면,38300,"경상북도 청도군 각북면 헐티로 1229, (각북면)",054-371-7770,,20150827,3,0,0,0,2,0,0,0,0,0,0,0,1,0,128.5663118,35.7143845
1807,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzMxIyQxIyQzIyQ3MiQzNjE0ODEjNjEjJDEjJDgjJDgz,감인의료재단 신갈백세요양병원,28,요양병원,310000,경기,312001,용인기흥구,신갈동,16945,"경기도 용인시 기흥구 신정로159번길 60, 신갈백세암요양병원 (신갈동)",031-693-6900,,20130709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.0971813,37.2868405
1808,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ5MiQyNjEwMDIjODEjJDEjJDIjJDgz,감인의료재단 아인요양병원,28,요양병원,340000,충남,340900,당진시,채운동,31778,"충청남도 당진시 남부로 140, (채운동)",041-351-5000,,20240328,4,1,0,0,3,0,0,0,0,0,0,0,0,0,126.6320046,36.8846218
1809,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzMxIyQxIyQ3IyQ3OSQyNjE0ODEjNTEjJDEjJDYjJDgz,감인의료재단 청라백세요양병원,28,요양병원,220000,인천,220005,인천서구,경서동,22756,"인천광역시 서구 로봇랜드로249번길 14, (경서동)",032-524-8800,,20140217,5,0,0,0,3,0,0,0,0,2,0,0,0,0,126.6100211,37.5290986
1810,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ4OSQyNjE0ODEjNjEjJDEjJDgjJDgz,강경효사랑요양병원,28,요양병원,340000,충남,340700,논산시,강경읍,32941,"충청남도 논산시 강경읍 여강로 1294, (강경읍)",041-745-1500,,20140915,4,0,0,0,3,0,0,0,0,1,0,0,0,0,127.0128889,36.1507911
1811,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQyIyQxIyQwMCQzNjEyMjIjNTEjJDEjJDYjJDgz,강남센트럴요양병원,28,요양병원,110000,서울,110018,송파구,가락동,5829,"서울특별시 송파구 송이로 156, 태정타워 (가락동)",02-3411-2360,,20160630,4,1,0,0,3,0,0,0,0,0,0,0,0,0,127.1246503,37.4930599
1812,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQyIyQxIyQwMCQzNjE0ODEjNzEjJDEjJDgjJDgz,강남수요양병원,28,요양병원,110000,서울,110004,관악구,신림동,8754,"서울특별시 관악구 신림로64길 11, 지1층,2~11층 (신림동, 성재빌딩)",02-888-8866,,20140905,5,0,0,0,3,0,0,0,0,2,0,0,0,0,126.9304624,37.4851884
1813,JDQ4MTg4MSM1MSMkMSMkNCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ3OSQzNjEwMDIjNjEjJDEjJDAjJDgz,강남요양병원,28,요양병원,110000,서울,110021,서초구,반포동,6593,"서울특별시 서초구 서초중앙로 197, (반포동)",02-832-0151,,20100412,3,0,0,0,2,0,0,0,0,1,0,0,0,0,127.0120817,37.4993952
1814,JDQ4MTYyMiM3MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ2MiQzNjEyMjIjODEjJDEjJDIjJDgz,강남요양병원,28,요양병원,240000,광주,240001,광주동구,소태동,61500,"광주광역시 동구 남문로 622, (소태동)",062-601-9000,,20140612,8,1,0,0,4,0,0,0,0,2,0,0,1,0,126.9316265,35.1264293
1815,JDQ4MTYyMiM4MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQyIyQ1IyQwMCQzNjE0ODEjNDEjJDEjJDgjJDgz,강남요양병원,28,요양병원,230000,대구,230002,대구동구,방촌동,41145,"대구광역시 동구 동촌로 207, (방촌동, 강남병원)",053-983-4300,,20170110,5,1,0,0,3,0,0,0,0,1,0,0,0,0,128.6630412,35.8830536
1816,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQxMyQyNjEyMjIjODEjJDEjJDYjJDgz,강남요양병원,28,요양병원,260000,울산,260001,울산남구,신정동,44676,"울산광역시 남구 중앙로 187-1, (신정동)",052-260-3525,,20110826,2,0,0,0,1,0,0,0,0,1,0,0,0,0,129.3127437,35.5377468
1817,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzMxIyQxIyQ3IyQ5MiQyNjEyMjIjNDEjJDEjJDgjJDgz,강남제일요양병원,28,요양병원,310000,경기,312600,광주시,신현동,12771,"경기도 광주시 오포읍 새말길 188, (신현동)",031-711-0220,,20180628,4,0,0,0,3,0,0,0,0,1,0,0,0,0,127.1633822,37.3745378
1818,JDQ4MTg4MSM1MSMkMSMkNCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ3OSQzNjE0ODEjNjEjJDEjJDgjJDgz,강남효요양병원,28,요양병원,110000,서울,110004,관악구,봉천동,8782,"서울특별시 관악구 남부순환로 1704, (봉천동)",02-885-8080,,20080415,5,1,0,0,4,0,0,0,0,0,0,0,0,0,126.9394042,37.4830572
1819,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQxMyQ0NjE0ODEjODEjJDEjJDYjJDgz,강동미사노블요양병원,28,요양병원,310000,경기,311300,하남시,망월동,12922,"경기도 하남시 미사대로 472, SR광장프라자 204~208호,3층,4층,5층호 (망월동)",031-8026-2222,,20200312,4,0,0,0,2,0,0,0,0,2,0,0,0,0,127.2008721,37.5622044
1820,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ3OSQyNjEyMjIjODEjJDEjJDYjJDgz,강동성모요양병원,28,요양병원,110000,서울,110002,강동구,천호동,5324,"서울특별시 강동구 올림픽로80길 31, 로뎀빌딩 (천호동)",02-488-0020,,20070410,10,0,0,0,9,0,0,0,0,1,0,0,0,0,127.1271993,37.5434735
1821,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQxIyQ5MiQzNjE0ODEjNDEjJDEjJDQjJDgz,강동스마일요양병원,28,요양병원,310000,경기,311300,하남시,풍산동,12919,"경기도 하남시 미사강변대로54번길 70, 산우빌딩 지3, 지1, 1층일부, 2~5층호 (풍산동)",031-794-9939,,20200518,8,0,0,0,5,0,0,0,0,2,0,0,1,0,127.1894676,37.5558132
1822,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQwMyQzNjE0ODEjNzEjJDEjJDgjJDgz,강동우리들요양병원,28,요양병원,110000,서울,110002,강동구,천호동,5329,"서울특별시 강동구 구천면로 202, 행복타워빌딩 B2,2,3,4,6층 (천호동)",02-474-7570,,20181214,7,0,0,0,5,0,0,0,0,1,0,0,1,0,127.127112,37.5401093
1823,JDQ4MTYyMiM1MSMkMSMkNCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ2MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,강릉연세요양병원,28,요양병원,320000,강원,320100,강릉시,옥천동,25552,"강원특별자치도 강릉시 옥가로 70, (옥천동)",033-645-1400,,20071004,3,0,0,0,3,0,0,0,0,0,0,0,0,0,128.9007545,37.7623731
1824,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ4OSQzNjEyMjIjNjEjJDEjJDAjJDgz,강림요양병원,28,요양병원,210000,부산,210015,부산사상구,엄궁동,47035,"부산광역시 사상구 낙동대로 792, (엄궁동)",051-329-9000,,20100423,9,1,0,0,5,0,0,0,0,3,0,0,0,0,128.9728208,35.1312796
1825,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ2MiQ0NjE0ODEjNjEjJDEjJDAjJDgz,강민의료재단 나누리요양병원,28,요양병원,380000,경남,380100,김해시,진례면,50874,"경상남도 김해시 진례면 진례로74번길 47, (진례면)",055-342-1101,,20171116,5,1,0,0,3,0,0,0,0,1,0,0,0,0,128.7534948,35.2394835
1826,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQxIyQxMyQyNjE0ODEjNDEjJDEjJDgjJDgz,강변요양병원,28,요양병원,310000,경기,310001,가평군,가평읍,12428,"경기도 가평군 가평읍 북한강변로 160, (가평읍)",031-582-8858,,20200306,2,0,0,0,1,0,0,0,0,1,0,0,0,0,127.5259488,37.7473062
1827,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQyIyQxIyQwMCQyNjE0ODEjNDEjJDEjJDQjJDgz,강북성심요양병원,28,요양병원,310000,경기,311901,고양덕양구,행신동,10518,"경기도 고양시 덕양구 중앙로557번길 7-14, (행신동)",031-978-1122,http://www.kbhsungsim.co.kr,20080422,7,0,0,0,6,0,0,0,0,1,0,0,0,0,126.8354367,37.6227032
1828,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQwMyQzNjE4MzIjODEjJDEjJDIjJDgz,강북연세요양병원,28,요양병원,110000,서울,110010,서대문구,연희동,3707,"서울특별시 서대문구 성산로 335, (연희동)",02-335-2277,,20060220,5,0,0,0,4,0,0,0,0,1,0,0,0,0,126.9276697,37.5661224
1829,JDQ4MTYyMiM4MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQxMyQyNjEyMjIjODEjJDEjJDIjJDgz,강북요양병원,28,요양병원,230000,대구,230003,대구북구,읍내동,41434,"대구광역시 북구 칠곡중앙대로 504-6, (읍내동)",053-313-6006,,20060410,5,0,0,0,3,0,0,0,0,2,0,0,0,0,128.5507763,35.9398743
1830,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ3MiQ0NjE0ODEjNjEjJDEjJDAjJDgz,강북휴요양병원,28,요양병원,110000,서울,110024,강북구,미아동,1171,"서울특별시 강북구 도봉로 161, 서울컨벤션웨딩홀 (미아동)",02-982-7080,,20180319,5,1,0,0,3,0,0,0,0,1,0,0,0,0,127.027052,37.6231841
1831,JDQ4MTYyMiM1MSMkMSMkNCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ2MiQyNjEyMjIjNjEjJDEjJDAjJDgz,강원특별자치도립 강릉요양병원,28,요양병원,320000,강원,320100,강릉시,남문동,0,"강원특별자치도 강릉시 경강로 2007-2007, 2007",033-640-8800,http://gnch.or.kr,20150223,3,1,0,0,2,0,0,0,0,0,0,0,0,0,128.8888317,37.7492828
1832,JDQ4MTYyMiM3MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ4OSQzNjE0ODEjNjEjJDEjJDgjJDgz,강진효요양병원,28,요양병원,360000,전남,360001,강진군,강진읍,59243,"전라남도 강진군 강진읍 해강로 1322-0, (강진읍)",061-430-7501,,20160722,7,0,0,0,1,0,0,0,0,6,0,0,0,0,126.7526605,34.6230993
1833,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQ1IyQ3OSQzNjEwMDIjNTEjJDEjJDYjJDgz,강화요양병원,28,요양병원,220000,인천,220100,인천강화군,길상면,23048,"인천광역시 강화군 길상면 강화동로 181, (길상면)",032-937-0639,,20220127,4,0,0,0,2,0,0,0,0,1,0,0,1,0,126.4919705,37.6554282
1834,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzQxIyQyIyQ3IyQwMCQ0NjE0ODEjNzEjJDEjJDgjJDgz,강화희망요양병원,28,요양병원,220000,인천,220100,인천강화군,송해면,23019,"인천광역시 강화군 송해면 강화대로 743, (송해면)",,,20090109,1,0,0,0,1,0,0,0,0,0,0,0,0,0,126.4606079,37.7633729
1835,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQwMyQzNjEyMjIjODEjJDEjJDYjJDgz,개금길요양병원,28,요양병원,210000,부산,210004,부산진구,개금동,47173,"부산광역시 부산진구 백양대로 252, 1~7층 (개금동)",051-711-1279,,20170908,5,0,0,0,3,0,0,0,0,2,0,0,0,0,129.02322,35.1563937
1836,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ2MiQzNjEwMDIjNDEjJDEjJDQjJDgz,갤러리의아침요양병원,28,요양병원,380000,경남,380900,밀양시,내이동,50424,"경상남도 밀양시 내이신촌1길 14, (내이동)",055-352-2006,,20170901,4,1,0,0,2,0,0,0,0,1,0,0,0,0,128.7351006,35.5049927
1837,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQxMyQyNjEwMDIjNTEjJDEjJDYjJDgz,거제요양병원,28,요양병원,380000,경남,381000,거제시,장승포동,53321,"경상남도 거제시 거제대로 2975, (장승포동)",055-682-5555,,20151214,6,1,0,0,4,0,0,0,0,1,0,0,0,0,128.7184787,34.859862
1838,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzExIyQyIyQzIyQwMCQ0NjEwMDIjNjEjJDEjJDgjJDgz,거창군립 노인요양병원,28,요양병원,380000,경남,380002,거창군,거창읍,50141,"경상남도 거창군 거창읍 운정3길 180, (거창읍)",943-3333,,20060102,3,0,0,0,2,0,0,0,0,1,0,0,0,0,127.8908109,35.6757991
1839,JDQ4MTYyMiM4MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQwMyQ0NjE0ODEjNDEjJDEjJDQjJDgz,건양요양병원,28,요양병원,370000,경북,370400,안동시,서후면,36616,"경상북도 안동시 서후면 서선길 167-0, 건양요양병원",054-859-8888,,20230309,4,0,0,0,3,0,0,0,0,1,0,0,0,0,128.6513534,36.5885322
1840,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQyIyQ5IyQwMCQyNjEwMDIjNDEjJDEjJDgjJDgz,경기도립노인전문 평택병원,28,요양병원,310000,경기,311200,평택시,도일동,17723,"경기도 평택시 삼남로 312, (도일동)",031-669-9988,www.goodmsilver.co.kr/,20110831,6,0,0,0,5,0,0,0,0,1,0,0,0,0,127.0976195,37.0537393
1841,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQyIyQ1IyQwMCQyNjE4MzIjNDEjJDEjJDgjJDgz,경기도립노인전문남양주병원,28,요양병원,310000,경기,311500,남양주시,수동면,12025,"경기도 남양주시 수동면 외방로172번길 50, (수동면)",031-590-5000,www.gngh.or.kr/,20100305,7,0,0,0,6,0,0,0,0,0,0,0,1,0,127.3093065,37.7383995
1842,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQxMyQ0NjE0ODEjNTEjJDEjJDIjJDgz,경기도립노인전문동두천병원,28,요양병원,310000,경기,310200,동두천시,탑동동,11322,"경기도 동두천시 탑신로 536, (탑동동)",031-860-4114,,20071120,6,1,0,0,4,0,0,0,0,1,0,0,0,0,127.1361038,37.9009534
1843,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3MiQyNjE4MzIjNjEjJDEjJDQjJDgz,경기도립노인전문시흥병원,28,요양병원,310000,경기,311700,시흥시,광석동,14978,"경기도 시흥시 하중로 285, 경기도립 노인전문 시흥병원 (광석동)",031-500-7100,http://www.gshospital.com,20100604,8,1,0,0,6,0,0,0,0,1,0,0,0,0,126.8071271,37.386257
1844,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ4MiQyNjEwMDIjNDEjJDEjJDQjJDgz,경기도립노인전문여주병원,28,요양병원,310000,경기,312900,여주시,북내면,469854,"경기도 여주시 북내면 도예로 361-14, (북내면)",031-886-4100,http://www.noinhospital.or.kr/,20021214,5,0,0,0,4,0,0,0,0,1,0,0,0,0,127.669513,37.324967
1845,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ4MiQyNjEyMjIjODEjJDEjJDIjJDgz,경기도립노인전문용인병원,28,요양병원,310000,경기,312001,용인기흥구,상하동,17089,"경기도 용인시 기흥구 중부대로 940, (상하동)",031-288-0400,,19991015,5,1,0,0,3,0,0,0,0,1,0,0,0,0,127.1555927,37.2504431
1846,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzMxIyQxIyQzIyQ5MiQyNjEyMjIjNjEjJDEjJDAjJDgz,경기요양병원,28,요양병원,310000,경기,310303,부천원미구,심곡동,14641,"경기도 부천시 원미구 부천로 44, 지하1층 일부,1층일부,2~4층호 (심곡동)",032-351-2141,,20070912,5,0,0,0,3,0,0,0,0,2,0,0,0,0,126.7839544,37.4882434
1847,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQxIyQ3OSQyNjEyMjIjNTEjJDEjJDIjJDgz,경기웰니스요양병원,28,요양병원,310000,경기,312700,양주시,덕계동,11440,"경기도 양주시 평화로1479번길 45, 경기웰니스요양병원 (덕계동)",031-828-8500,,20180611,7,0,0,0,6,0,0,0,0,1,0,0,0,0,127.0466619,37.8224675
1848,JDQ4MTYyMiM4MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,경대재활요양병원,28,요양병원,230000,대구,230004,대구서구,평리동,41777,"대구광역시 서구 국채보상로 223, 대원빌딩 4~10층 (평리동)",053-262-2626,,20191015,7,1,0,0,4,0,0,0,0,2,0,0,0,0,128.5553458,35.8708157
1849,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzExIyQyIyQzIyQwMCQzNjEwMDIjNTEjJDEjJDYjJDgz,경상남도립양산노인전문병원,28,요양병원,380000,경남,381100,양산시,상북면,50509,"경상남도 양산시 상북면 양산대로 1870-64, (상북면)",055-375-7275,http://www.gygh.co.kr,20050713,6,2,0,0,3,0,0,0,0,1,0,0,0,0,129.0708358,35.4294707
